product_id,manufacturer_article_number,article_description,article_number,manufacturer_code,manufacturer,group ,vehicle_type,e-mark,european,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,nett-price,price,stock,EAN,internal_code,photolink,fuel_effeciency,wet_grip,noise_performance,Noise_Class,snow_grip,ice_label,eprel_id,eprel_url,wcat,article_type
12851,145    R 10TTR10,145     R10 TL 84N  NANK TR10,TR10,NA,NANKANG,16,BESTELWAGEN BANDEN,J,N,145,80,10,84N,42.45,0,>  20,4717622044652,EB208,https://www.etyre.net/preview/t3/na-tr10.jpg,,,,,,,,,1,REIFEN
13006,185 60HR 13TA008,185/60 HR13 TL 80H  YOKO A008,A008,YO,YOKOHAMA,11,LUXE BANDEN,J,N,185,60,13,80H,70.5,188.5,>  20,4968814934736,R3153,https://www.etyre.net/preview/t3/yo-a008.jpg,D,C,69,B,N,N,631575,https://eprel.ec.europa.eu/qr/631575,1,REIFEN
14041,195 60 R 12TTR10,195/60  R12 TL 104N NANK TR10,TR10,NA,NANKANG,16,BESTELWAGEN BANDEN,J,N,195,60,12,104N,48.15,0,>  20,4717622057126,EB189,https://www.etyre.net/preview/t3/na-tr10.jpg,D,C,72,B,N,N,470869,https://eprel.ec.europa.eu/qr/470869,1,REIFEN
16745,175 65TR 14TK425 VW,175/65 TR14 TL 82T  HA K425 KINERGY ECO VW,K425 VW,HA,HANKOOK,11,LUXE BANDEN,J,N,175,65,14,82T,47.3,71.5,>  20,8808563367453,1016649,https://www.etyre.net/preview/t3/ha-k425.jpg,B,C,65,A,N,N,464874,https://eprel.ec.europa.eu/qr/464874,1,REIFEN
17033,135   SR 15T310,135    SR15 TL 72S  TOYO 310 OLDTIMER,310,TO,TOYO,11,LUXE BANDEN,J,N,135,80,15,72S,66.45,94,>  20,4981910830276,2127100,https://www.etyre.net/preview/t3/to-310.jpg,,,,,,,,,1,REIFEN
17034,155   SR 15T310,155    SR15 TL 82S  TOYO 310 OLDTIMER,310,TO,TOYO,11,LUXE BANDEN,J,N,155,80,15,82S,69,103.5,>  20,4981910829423,2128200,https://www.etyre.net/preview/t3/to-310.jpg,,,,,,,,,1,REIFEN
20763,165 80TR 15TCT22,165/80 TR15 TL 87T  CO CONTACT CT 22,CT22,CO,CONTINENTAL,11,LUXE BANDEN,J,J,165,80,15,87T,72.65,135.5,>  20,4019238014990,358140,https://www.etyre.net/preview/t3/co-ct22.jpg,D,B,70,B,N,N,481321,https://eprel.ec.europa.eu/qr/481321,1,REIFEN
23821,195 55HR 15TWINTRAC,195/55 HR15 TL 85H  VR WINTRAC,WINTRAC,VR,VREDESTEIN,13,LUXE BANDEN M&S,J,J,195,55,15,85H,78.8,125,>  20,8714692361319,AP19555015HWTRA00,https://www.etyre.net/preview/t3/vr-wintrac.jpg,D,B,70,B,J,N,615538,https://eprel.ec.europa.eu/qr/615538,1,REIFEN
24002,P24560TR 15TCOBRAGT,P245/60TR15 TL 100T CP COBRA GT RWL,COBRAGT,CP,COOPER,11,LUXE BANDEN,J,N,245,60,15,100T,104,227.5,>  20,29142337874,589868,https://www.etyre.net/preview/t3/cp-cobragt.jpg,,,,,,,,,3,REIFEN
24039,P27560TR 15TCOBRAGT,P275/60TR15 TL 107T CP COBRA GT RWL,COBRAGT,CP,COOPER,11,LUXE BANDEN,J,N,275,60,15,107T,113.7,247,>  20,29142337898,589870,https://www.etyre.net/preview/t3/cp-cobragt.jpg,,,,,,,,,3,REIFEN
