product_id,manufacturer_article_number,EAN,tyre_tread,vehicle_type,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,tyre_speed_index,season,ec_vehicle,runflat,fuel_effeciency,wet_grip,rolling_resistance,noise_class,c-type,eu_directive_number,stock,price,3PMSF,ms,ice grip,eprel_id
29,221013947,6959956746873,Green Max All Season M+S 3PMSF,Green Max All Season,215,70,16,100,H,All Season,C1,FALSE,C,D,72,B,,2020/740,21,51.63,TRUE,TRUE,FALSE,427770
30,221011781,6959956741021,Green Max Allseason XL,Green Max All Season,215,60,17,100,V,All Season,C1,FALSE,B,D,72,B,,2020/740,1,40.18,TRUE,TRUE,FALSE,427687
31,221013976,6959956746934,Green Max Allseason XL M+S 3PMSF,Green Max All Season,225,60,17,103,V,All Season,C1,FALSE,C,D,72,B,,2020/740,21,56.04,TRUE,TRUE,FALSE,428196
32,221013961,6959956746941,Green Max All Season M+S 3PMSF,Green Max All Season,225,65,17,102,H,All Season,C1,FALSE,C,D,72,B,,2020/740,21,51.63,TRUE,TRUE,FALSE,428198
33,221012597,6959956746972,Winter Defender UHP XL,Winter Defender UHP,255,35,19,96,V,Winter,C1,FALSE,C,C,73,B,,2020/740,20,63.08,TRUE,TRUE,FALSE,439502
34,221013980,6959956746996,Green Max Allseason XL M+S 3PMSF,Green Max All Season,215,55,18,99,V,All Season,C1,FALSE,C,D,72,B,,2020/740,21,51.63,TRUE,TRUE,FALSE,427684
35,TR275,6971597444697,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,205,70,15,106 / 104,R / R,Winter,C2,,C,B,72,B,,2020/740,2,76.41,TRUE,TRUE,FALSE,608767
36,TR276,6971597444703,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,215,70,15,109 / 107,R / R,Winter,C2,,C,B,72,B,,2020/740,60,54.87,TRUE,TRUE,FALSE,608152
37,TR277,6971597444710,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,225,70,15,112 / 110,R / R,Winter,C2,,C,B,72,B,,2020/740,60,58.89,TRUE,TRUE,FALSE,607073
40,TR279,6971597444734,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,185,75,16,104 / 102,R / R,Winter,C2,,C,B,72,B,,2020/740,10,48.99,TRUE,TRUE,FALSE,608870
41,TR280,6971597444741,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,195,60,16,99 / 97,T / T,Winter,C2,,C,B,72,B,,2020/740,60,51.89,TRUE,TRUE,FALSE,607504
42,TR281,6971597444758,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,195,65,16,104 / 102,T / T,Winter,C2,,C,B,72,B,,2020/740,60,48.77,TRUE,TRUE,FALSE,608821
43,TR282,6971597444765,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,195,75,16,107 / 105,R / R,Winter,C2,,C,B,72,B,,2020/740,10,52.98,TRUE,TRUE,FALSE,608811
44,TR284,6971597444772,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,205,65,16,107 / 105,R / R,Winter,C2,,C,B,72,B,,2020/740,40,53.29,TRUE,TRUE,FALSE,606879
45,TR285,6971597444789,Winter Pro TSV1 M+S 3PMSF,Winter Pro TSV1,205,75,16,110 / 108,R / R,Winter,C2,,C,B,72,B,,2020/740,3,87.86,TRUE,TRUE,FALSE,607542
