ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
3188649806959,20004421,DUNLOP,Reifen,09.csv,275,35,R,21,,,SP SPORT MAXX  GT RO,,09,,,,,,
3188649808793,20004617,DUNLOP,Reifen,09.csv,255,40,R,18,,,SP WIN.SPORT 4D MO XL,,09,,,,,,
3188649808861,20003519,DUNLOP,Reifen,09.csv,235,45,R,19,,,WISPO 3D AO XL MFS,,09,,,,,,
3188649809714,20004425,DUNLOP,Reifen,09.csv,215,40,R,17,,,WISPO 3D AO XL MFS,,09,,,,,,
3188649809738,20004439,DUNLOP,Reifen,09.csv,225,50,R,18,,,WISPO 3D AO XL,,09,,,,,,
3188649809967,20004426,DUNLOP,Reifen,09.csv,225,60,R,17,,,SP SPORT MAXX  TT *,,09,,,,,,
3188649811328,20004559,DUNLOP,Reifen,09.csv,195,65,R,15,,,SP SPORT FASTRESPONSE MO,,09,,,,,,
3188649811403,20004723,DUNLOP,Reifen,09.csv,225,45,R,17,,,SP SPT MAXX TT*ROF,,09,,,,,,
3188649811571,20004621,DUNLOP,Reifen,09.csv,225,55,R,16,,,SP WIN.SPORT 4D*,,09,,,,,,
3188649813674,20004812,DUNLOP,Reifen,09.csv,195,65,R,16C,102,,ECONODRIVE,,09,,,,,,
3188649813735,20004818,DUNLOP,Reifen,09.csv,205,65,R,16C,105,,ECONODRIVE,,09,,,,,,
3188649813780,20004824,DUNLOP,Reifen,09.csv,215,65,R,16C,107,,ECONODRIVE,,09,,,,,,
3188649815111,20004628,DUNLOP,Reifen,09.csv,235,55,R,18,,,SP WINTER SPORT 3D MS,,09,,,,,,
3188649815203,20004573,DUNLOP,Reifen,09.csv,225,50,R,17,,,WISPO 4D * ROF,,09,,,,,,
3188649815227,20004729,DUNLOP,Reifen,09.csv,225,45,R,17,,,SP SPORT MAXX  TT MO,,09,,,,,,
3188649817078,20004737,DUNLOP,Reifen,09.csv,245,45,R,19,,Z,SPORT MAXX RT MGT,,09,,,,,,
3188649818563,20004670,DUNLOP,Reifen,09.csv,185,55,R,15,,,SPORT BLURESPONSE,,09,,,,,,
3188649818570,20004671,DUNLOP,Reifen,09.csv,185,60,R,14,,,SPORT BLURESPONSE,,09,,,,,,
3188649818587,20004672,DUNLOP,Reifen,09.csv,185,60,R,15,,,SPORT BLURESPONSE XL,,09,,,,,,
3188649818617,20004950,DUNLOP,Reifen,09.csv,195,45,R,16,,,SPORT BLURESPONSE XL,,09,,,,,,
3188649818679,20004662,DUNLOP,Reifen,09.csv,195,55,R,15,,,SPORT BLURESPONSE,,09,,,,,,
3188649818723,20004667,DUNLOP,Reifen,09.csv,195,65,R,15,,,SPORT BLURESPONSE XL,,09,,,,,,
3188649818754,20004678,DUNLOP,Reifen,09.csv,205,55,R,16,,,SPORT BLURESPONSE,,09,,,,,,
3188649818785,20004682,DUNLOP,Reifen,09.csv,205,60,R,15,,,SPORT BLURESPONSE,,09,,,,,,
3188649818884,20004689,DUNLOP,Reifen,09.csv,215,60,R,16,,,SPORT BLURESPONSE,,09,,,,,,
3188649818891,20004690,DUNLOP,Reifen,09.csv,215,60,R,16,,,SPORT BLURESPONSE XL,,09,,,,,,
3188649819225,20004692,DUNLOP,Reifen,09.csv,195,65,R,15,,,SPORT BLURESPONSE,,09,,,,,,
3188649819263,20004695,DUNLOP,Reifen,09.csv,205,55,R,16,,,SPORT BLURESPONSE,,09,,,,,,
3188649819287,20004697,DUNLOP,Reifen,09.csv,215,55,R,16,,,SPORT BLURESPONSE,,09,,,,,,
3188649819324,20004755,DUNLOP,Reifen,09.csv,215,50,R,17,,,SPORT MAXX RT,,09,,,,,,
3188649820429,20004864,DUNLOP,Reifen,09.csv,185,55,R,15,,,WINTER RESPONSE 2 MS,,09,,,,,,
3188649820504,20004872,DUNLOP,Reifen,09.csv,195,65,R,15,,,WINTER RESPONSE 2 MS,,09,,,,,,
3188649821044,20004979,DUNLOP,Reifen,09.csv,185,65,R,14,,,STREET RESPONSE 2,,09,,,,,,
3188649821709,20005139,DUNLOP,Reifen,09.csv,195,65,R,15,,,WINTER RESPONSE 2 XL,,09,,,,,,
3188649821747,50005752,GOODYEAR,Reifen,09.csv,235,55,R,19,,,EAG.F1 AS.2 SUV N0,,09,,,,,,
3188649821754,50005753,GOODYEAR,Reifen,09.csv,255,50,R,19,,,EAG.F1 AS.2 SUV N0,,09,,,,,,
3188649822010,20004994,DUNLOP,Reifen,09.csv,175,65,R,15,,,SPORT BLURESPONSE *,,09,,,,,,
3286340221313,140004676,BRIDGESTONE,Reifen,09.csv,225,55,R,16,,,BLIZZAK LM-32  MO XL,,09,,,,,,
3286340249010,140004437,BRIDGESTONE,Reifen,09.csv,235,60,R,18,,,DUELER SPORT AO,,09,,,,,,
3286340268417,140004450,BRIDGESTONE,Reifen,09.csv,265,35,R,19,,,POTENZA RE050A N-1,,09,,,,,,
3286340268714,140004452,BRIDGESTONE,Reifen,09.csv,225,55,R,16,,,TURANZA ER 300 AO,,09,,,,,,
3286340296113,140004589,BRIDGESTONE,Reifen,09.csv,245,45,R,17,,,TURANZA ER 300 MO,,09,,,,,,
3286340306317,140005140,BRIDGESTONE,Reifen,09.csv,205,55,R,16,,,TURANZA ER 300 *,,09,,,,,,
3286340306416,140004934,BRIDGESTONE,Reifen,09.csv,205,55,R,16,,,TURANZA ER 300 *,,09,,,,,,
3286340388214,140005028,BRIDGESTONE,Reifen,09.csv,265,35,R,19,,,POTENZA RE 050 A XL AO,,09,,,,,,
3286340438414,140005727,BRIDGESTONE,Reifen,09.csv,195,55,R,16,,,BLIZZAK LM-32  *,,09,,,,,,
3286340451918,140005188,BRIDGESTONE,Reifen,09.csv,185,60,R,16,,,ECOPIA EP25,,09,,,,,,
3286340488617,140005303,BRIDGESTONE,Reifen,09.csv,225,55,R,16,,,TURANZA ER 300 MO XL,,09,,,,,,
3286340495318,140005308,BRIDGESTONE,Reifen,09.csv,225,55,R,16,,,TURANZA ER300A*ECOPIA,,09,,,,,,
3286340495516,140005353,BRIDGESTONE,Reifen,09.csv,225,50,R,17,,,POTENZA S001*RFT,,09,,,,,,
3286340509312,140005268,BRIDGESTONE,Reifen,09.csv,225,45,R,17,,,TURANZA T001 MO,,09,,,,,,
3286340535519,140005371,BRIDGESTONE,Reifen,09.csv,245,35,R,20,,,POT.RE050A*RFT XL,,09,,,,,,
3286340549219,140006018,BRIDGESTONE,Reifen,09.csv,215,65,R,16,,,BLIZZAK LM-80 AO,,09,,,,,,
3286340550314,140005553,BRIDGESTONE,Reifen,09.csv,255,35,R,19,,,POTENZA S001 EXT MOE,,09,,,,,,
3286340550413,140004630,BRIDGESTONE,Reifen,09.csv,255,35,R,19,,,POTENZA S001 MO,,09,,,,,,
3286340579612,140005833,BRIDGESTONE,Reifen,09.csv,235,55,R,17,,,DUELER H/P SPORT AO,,09,,,,,,
3286340583015,140005595,BRIDGESTONE,Reifen,09.csv,275,35,R,19,,,TURANZA ER 300*RFT,,09,,,,,,
3286340583411,140005598,BRIDGESTONE,Reifen,09.csv,275,40,R,19,,,POTENZA S001 MO,,09,,,,,,
3286340599511,140007772,BRIDGESTONE,Reifen,09.csv,235,35,R,19,,,TURANZA T 005 XLAO,,09,,,,,,
3286340619714,140006182,BRIDGESTONE,Reifen,09.csv,205,55,R,17,,,TURANZA T001 *,,09,,,,,,
3286340619813,140006183,BRIDGESTONE,Reifen,09.csv,205,55,R,17,,,TURANZA T001 RFT *,,09,,,,,,
3286340619912,140006184,BRIDGESTONE,Reifen,09.csv,225,45,R,18,,,POTENZA S001 RFT *,,09,,,,,,
3286340623513,140006684,BRIDGESTONE,Reifen,09.csv,245,50,R,18,,,POTENZA S001 MO,,09,,,,,,
3286340627917,140006190,BRIDGESTONE,Reifen,09.csv,245,55,R,17,,,TURANZA T001 MO,,09,,,,,,
3286340628617,140005620,BRIDGESTONE,Reifen,09.csv,275,35,R,20,,,POTENZA S001 RO1 XL,,09,,,,,,
3286340641814,140005867,BRIDGESTONE,Reifen,09.csv,225,55,R,17,,,TURANZA T001 * RFT,,09,,,,,,
3286340641913,140006192,BRIDGESTONE,Reifen,09.csv,235,50,R,18,,,DUELER H/P SPORT AO,,09,,,,,,
3286340646918,140006687,BRIDGESTONE,Reifen,09.csv,245,35,R,19,,,POTENZA S001 AO XL,,09,,,,,,
3286340647410,140007666,BRIDGESTONE,Reifen,09.csv,225,50,R,17,,,TURANZA T 005 XLAO,,09,,,,,,
3286340657310,140005626,BRIDGESTONE,Reifen,09.csv,225,65,R,17,,,DUELER H/T 687,,09,,,,,,
3286340658416,140006196,BRIDGESTONE,Reifen,09.csv,155,60,R,20,,,ECOPIA EP500 *,,09,,,,,,
3286340659819,140006043,BRIDGESTONE,Reifen,09.csv,235,75,R,15,,,BLIZZAK LM-80  EVO XL,,09,,,,,,
