ean,product_id,manufacturer,article_type,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1000000000368,382638,Avus Racing,Felge,provider 17,,,,,,
1000000002850,382173,Avus Racing,Felge,provider 17,,,,,,
1000000003062,382629,Avus Racing,Felge,provider 17,,,,,,
1000000003086,382633,Avus Racing,Felge,provider 17,,,,,,
1000000003956,382414,Avus Racing,Felge,provider 17,,,,,,
1000000004021,382168,Avus Racing,Felge,provider 17,,,,,,
1000000004205,382410,Avus Racing,Felge,provider 17,,,,,,
1000000004212,382406,Avus Racing,Felge,provider 17,,,,,,
1000000004229,382411,Avus Racing,Felge,provider 17,,,,,,
1000000004311,382429,Avus Racing,Felge,provider 17,,,,,,
1000000004335,382415,Avus Racing,Felge,provider 17,,,,,,
1000000004540,382163,Avus Racing,Felge,provider 17,,,,,,
1000000004694,382631,Avus Racing,Felge,provider 17,,,,,,
1000000004816,382304,Avus Racing,Felge,provider 17,,,,,,
1000000004861,382413,Avus Racing,Felge,provider 17,,,,,,
1000000005028,382419,Avus Racing,Felge,provider 17,,,,,,
1000000005271,382485,Avus Racing,Felge,provider 17,,,,,,
1000000005295,382495,Avus Racing,Felge,provider 17,,,,,,
1000000005318,586813,Avus Racing,Felge,provider 17,,,,,,
1000000005691,382484,Avus Racing,Felge,provider 17,,,,,,
1000000007589,382494,Avus Racing,Felge,provider 17,,,,,,
1000000008616,382155,Avus Racing,Felge,provider 17,,,,,,
1000000010282,382465,Avus Racing,Felge,provider 17,,,,,,
1000000010305,382466,Avus Racing,Felge,provider 17,,,,,,
1000000010565,382488,Avus Racing,Felge,provider 17,,,,,,
1000000011449,382147,Avus Racing,Felge,provider 17,,,,,,
1000000011470,382146,Avus Racing,Felge,provider 17,,,,,,
1000000011487,382137,Avus Racing,Felge,provider 17,,,,,,
1000000012521,382248,Avus Racing,Felge,provider 17,,,,,,
1000000013191,382196,Avus Racing,Felge,provider 17,,,,,,
1000000013283,382209,Avus Racing,Felge,provider 17,,,,,,
1000000013399,382848,Avus Racing,Felge,provider 17,,,,,,
1000000013924,382479,Avus Racing,Felge,provider 17,,,,,,
1000000015164,382153,Avus Racing,Felge,provider 17,,,,,,
1000000015256,382417,Avus Racing,Felge,provider 17,,,,,,
1000000015805,382668,Avus Racing,Felge,provider 17,,,,,,
1000000016130,382684,Avus Racing,Felge,provider 17,,,,,,
1000000016185,382694,Avus Racing,Felge,provider 17,,,,,,
1000000016192,382698,Avus Racing,Felge,provider 17,,,,,,
1000000016413,382483,Avus Racing,Felge,provider 17,,,,,,
1000000016437,382427,Avus Racing,Felge,provider 17,,,,,,
1000000016499,382489,Avus Racing,Felge,provider 17,,,,,,
